notOutlier_Alive,notOutlier_Death,notOutlier_survival_rate,outlier_Alive,outlier_Death,outlier_survival_rate,seq_survival_rate,support,total_patients,fisherScore,seq
551.0,538.0,0.50597,30.0,0.0,1,0.51921,1119,9110,0.0010909078092636363,1201620 -1 1125315 -1  -2 
455.0,450.0,0.50276,26.0,0.0,1,0.51665,931,9110,0.0010759903120292134,1503297 -1 1125315 -1  -2 
566.0,433.0,0.56657,28.0,0.0,1,0.57838,1027,9110,0.0010732140267514759,1506270 -1 1506270 -1  -2 
651.0,591.0,0.52415,33.0,0.0,1,0.53647,1275,9110,0.00106302975423726,1734104 -1 1125315 1174888 -1  -2 
536.0,375.0,0.58836,26.0,0.0,1,0.59979,937,9110,0.0010519507096688114,1713332 -1 1308216 -1  -2 
485.0,435.0,0.52717,26.0,0.0,1,0.54017,946,9110,0.0010166997027745636,19121608 -1 1125315 1174888 -1  -2 
514.0,599.0,0.46181,30.0,0.0,1,0.47594,1143,9110,0.0010061378281847493,1125315 1174888 -1 1124957 -1  -2 
468.0,502.0,0.48247,27.0,0.0,1,0.49649,997,9110,0.0010051139787957022,1125315 1174888 -1 1786621 -1  -2 
571.0,698.0,0.44996,33.0,0.0,1,0.4639,1302,9110,9.762464306212544E-4,744740 -1  -2 
396.0,586.0,0.40326,27.0,0.0,1,0.41923,1009,9110,9.613043609053266E-4,797399 -1  -2 
447.0,443.0,0.50225,25.0,0.0,1,0.51585,915,9110,9.526519028588578E-4,1713332 -1 1759842 -1  -2 
655.0,427.0,0.60536,29.0,0.0,1,0.61566,1111,9110,9.472959477284114E-4,1545958 -1 1545958 -1  -2 
408.0,494.0,0.45233,25.0,0.0,1,0.4671,927,9110,9.08058805863116E-4,1705674 1836430 -1 1125315 -1  -2 
408.0,544.0,0.42857,26.0,0.0,1,0.44376,978,9110,8.98852659261457E-4,1125315 1174888 -1 1154343 -1  -2 
673.0,474.0,0.58675,30.0,0.0,1,0.59728,1177,9110,8.947637677194329E-4,1307046 -1 1713332 -1  -2 
580.0,379.0,0.6048,26.0,0.0,1,0.61523,985,9110,8.745585205623793E-4,1307046 -1 1307046 -1 1307046 -1  -2 
387.0,525.0,0.42434,25.0,0.0,1,0.4397,937,9110,8.721639628755858E-4,1734104 -1 1742253 -1  -2 
422.0,491.0,0.46221,25.0,0.0,1,0.47655,938,9110,8.686362780359876E-4,1734104 -1 1154343 -1  -2 
645.0,463.0,0.58213,29.0,0.0,1,0.59279,1137,9110,8.630477795559102E-4,1713332 -1 1307046 -1  -2 
610.0,312.0,0.66161,25.0,0.0,1,0.67054,947,9110,8.373824101468539E-4,1539403 -1 1322184 -1  -2 
582.0,347.0,0.62648,25.0,0.0,1,0.63627,954,9110,8.136795929436196E-4,1545958 -1 1307046 -1  -2 
612.0,514.0,0.54352,29.0,0.0,1,0.55498,1155,9110,8.081027685349199E-4,1734104 -1 1713332 -1  -2 
634.0,394.0,0.61673,27.0,0.0,1,0.62654,1055,9110,8.06842255209577E-4,1308216 -1 1307046 -1  -2 
923.0,325.0,0.73958,9.0,0.0,1,0.74145,1257,9110,7.698931046956382E-4,1307046 1322184 -1  -2 
