Outlier_Predict_Alive,outlier_Death,outlier_Predict_Death,Outlier_Alive,support,total_patients,fisherScore,seq
186.0,0.0,1.0,0.0,187,1642,1.5363116196521516E-4,1177480 -1  -2 
183.0,0.0,1.0,0.0,184,1642,1.426914446564285E-4,1301025 -1  -2 
176.0,0.0,1.0,0.0,177,1642,1.1826890832362198E-4,1163944 -1 1125315 -1  -2 
175.0,0.0,1.0,0.0,176,1642,1.1491175656207948E-4,1506270 -1 1551099 -1  -2 
280.0,0.0,3.0,0.0,283,1642,1.060258549982969E-4,948078 -1  -2 
176.0,0.0,2.0,0.0,178,1642,1.0562159374805507E-4,903963 -1 1125315 -1  -2 
177.0,0.0,2.0,0.0,179,1642,1.0141996224490581E-4,1137529 1149380 -1  -2 
166.0,0.0,1.0,0.0,167,1642,8.629090535312899E-5,974166 -1 974166 -1  -2 
198.0,0.0,2.0,0.0,200,1642,3.563924610918366E-5,1545958 -1  -2 
200.0,0.0,2.0,0.0,202,1642,3.136512401518068E-5,1738521 -1  -2 
201.0,0.0,2.0,0.0,203,1642,2.9343912185874968E-5,1125315 -1 744740 -1  -2 
261.0,0.0,2.0,0.0,263,1642,1.9163375772678625E-5,19136030 -1  -2 
249.0,0.0,2.0,0.0,251,1642,6.647759072612398E-6,1713332 -1 19049105 -1  -2 
